question_nr,answers,explain
1,9704,"== Physical Plan ==
*(2) HashAggregate(keys=[INT_accession#57], functions=[])
+- Exchange hashpartitioning(INT_accession#57, 200), ENSURE_REQUIREMENTS, [id=#75]
   +- *(1) HashAggregate(keys=[INT_accession#57], functions=[])
      +- *(1) Project [_c11#27 AS INT_accession#57]
         +- FileScan csv [_c11#27] Batched: false, DataFilters: [], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [], ReadSchema: struct<_c11:string>

"
2,11.490524386574391,"('== Physical Plan ==\n*(1) Project [_c0#16 AS Protein_accession#46]\n+- FileScan csv [_c0#16] Batched: false, DataFilters: [], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [], ReadSchema: struct<_c0:string>\n\n', '== Physical Plan ==\n*(1) Project [_c0#16 AS Protein_accession#46]\n+- FileScan csv [_c0#16] Batched: false, DataFilters: [], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [], ReadSchema: struct<_c0:string>\n\n')"
3,GO:0003700|GO:0006355,"== Physical Plan ==
*(3) Sort [count#140L DESC NULLS LAST], true, 0
+- Exchange rangepartitioning(count#140L DESC NULLS LAST, 200), ENSURE_REQUIREMENTS, [id=#214]
   +- *(2) HashAggregate(keys=[GO_annotations#59], functions=[count(1)])
      +- Exchange hashpartitioning(GO_annotations#59, 200), ENSURE_REQUIREMENTS, [id=#210]
         +- *(1) HashAggregate(keys=[GO_annotations#59], functions=[partial_count(1)])
            +- *(1) Project [_c13#29 AS GO_annotations#59]
               +- *(1) Filter (isnotnull(_c13#29) AND Contains(_c13#29, GO))
                  +- FileScan csv [_c13#29] Batched: false, DataFilters: [isnotnull(_c13#29), Contains(_c13#29, GO)], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c13), StringContains(_c13,GO)], ReadSchema: struct<_c13:string>

"
4,131.73178916966685,"== Physical Plan ==
*(2) HashAggregate(keys=[], functions=[avg(lenght#145)])
+- Exchange SinglePartition, ENSURE_REQUIREMENTS, [id=#275]
   +- *(1) HashAggregate(keys=[], functions=[partial_avg(lenght#145)])
      +- *(1) Project [(cast(_c7#23 as double) - cast(_c6#22 as double)) AS lenght#145]
         +- FileScan csv [_c6#22,_c7#23] Batched: false, DataFilters: [], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [], ReadSchema: struct<_c6:string,_c7:string>

"
5,"['IPR027417', 'IPR002347', 'IPR003439', 'IPR036388', 'IPR036259', 'IPR003593', 'IPR036390', 'IPR036291', 'IPR000515', 'IPR001789']","== Physical Plan ==
*(3) Sort [count#216L DESC NULLS LAST], true, 0
+- Exchange rangepartitioning(count#216L DESC NULLS LAST, 200), ENSURE_REQUIREMENTS, [id=#341]
   +- *(2) HashAggregate(keys=[INT_accession#57], functions=[count(1)])
      +- Exchange hashpartitioning(INT_accession#57, 200), ENSURE_REQUIREMENTS, [id=#337]
         +- *(1) HashAggregate(keys=[INT_accession#57], functions=[partial_count(1)])
            +- *(1) Project [_c11#27 AS INT_accession#57]
               +- *(1) Filter (isnotnull(_c11#27) AND Contains(_c11#27, IPR0))
                  +- FileScan csv [_c11#27] Batched: false, DataFilters: [isnotnull(_c11#27), Contains(_c11#27, IPR0)], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), StringContains(_c11,IPR0)], ReadSchema: struct<_c11:string>

"
6,"['IPR027417', 'IPR036259', 'IPR020846', 'IPR029058', 'IPR036388', 'IPR000182', 'IPR013785', 'IPR036291', 'IPR029063', 'IPR015424']","== Physical Plan ==
*(3) Sort [count#281L DESC NULLS LAST], true, 0
+- Exchange rangepartitioning(count#281L DESC NULLS LAST, 200), ENSURE_REQUIREMENTS, [id=#424]
   +- *(2) HashAggregate(keys=[INT_accession#57], functions=[count(1)])
      +- Exchange hashpartitioning(INT_accession#57, 200), ENSURE_REQUIREMENTS, [id=#420]
         +- *(1) HashAggregate(keys=[INT_accession#57], functions=[partial_count(1)])
            +- *(1) Project [_c11#27 AS INT_accession#57]
               +- *(1) Filter (((((isnotnull(_c11#27) AND isnotnull(_c7#23)) AND isnotnull(_c6#22)) AND isnotnull(_c2#18)) AND Contains(_c11#27, IPR0)) AND (((cast(_c7#23 as double) - cast(_c6#22 as double)) / cast(_c2#18 as double)) > 0.9))
                  +- FileScan csv [_c2#18,_c6#22,_c7#23,_c11#27] Batched: false, DataFilters: [isnotnull(_c11#27), isnotnull(_c7#23), isnotnull(_c6#22), isnotnull(_c2#18), Contains(_c11#27, I..., Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), IsNotNull(_c7), IsNotNull(_c6), IsNotNull(_c2), StringContains(_c11,IPR0)], ReadSchema: struct<_c2:string,_c6:string,_c7:string,_c11:string>

"
7,"['domain', 'superfamily', 'protein', 'C-terminal', 'site', 'hydrolase', 'DNA-binding', 'N-terminal', 'conserved', 'family']","== Physical Plan ==
*(4) Sort [count#363L DESC NULLS LAST], true, 0
+- Exchange rangepartitioning(count#363L DESC NULLS LAST, 200), ENSURE_REQUIREMENTS, [id=#521]
   +- *(3) HashAggregate(keys=[word#329], functions=[count(1)])
      +- Exchange hashpartitioning(word#329, 200), ENSURE_REQUIREMENTS, [id=#517]
         +- *(2) HashAggregate(keys=[word#329], functions=[partial_count(1)])
            +- Generate explode(split(INT_description#58,  , -1)), false, [word#329]
               +- *(1) Project [_c12#28 AS INT_description#58]
                  +- *(1) Filter ((((isnotnull(_c11#27) AND ((_c11#27 = -) = false)) AND isnotnull(_c12#28)) AND (size(split(_c12#28,  , -1), true) > 0)) AND isnotnull(split(_c12#28,  , -1)))
                     +- FileScan csv [_c11#27,_c12#28] Batched: false, DataFilters: [isnotnull(_c11#27), ((_c11#27 = -) = false), isnotnull(_c12#28), (size(split(_c12#28,  , -1), tr..., Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), IsNotNull(_c12)], ReadSchema: struct<_c11:string,_c12:string>

"
8,"['4-O-beta-D-mannosyl-D-glucose', 'DUF2839', 'UbiH/COQ6', 'FRHB/FDHB/HCAR-like', 'DUF993', 'Sulfolobus', 'Gp224', 'DUF4321', '(D-beta-phenylalanine', 'ThiH/NocL/HydG-like']","== Physical Plan ==
*(4) Sort [count#445L ASC NULLS FIRST], true, 0
+- Exchange rangepartitioning(count#445L ASC NULLS FIRST, 200), ENSURE_REQUIREMENTS, [id=#622]
   +- *(3) HashAggregate(keys=[word#411], functions=[count(1)])
      +- Exchange hashpartitioning(word#411, 200), ENSURE_REQUIREMENTS, [id=#618]
         +- *(2) HashAggregate(keys=[word#411], functions=[partial_count(1)])
            +- Generate explode(split(INT_description#58,  , -1)), false, [word#411]
               +- *(1) Project [_c12#28 AS INT_description#58]
                  +- *(1) Filter ((((isnotnull(_c11#27) AND ((_c11#27 = -) = false)) AND isnotnull(_c12#28)) AND (size(split(_c12#28,  , -1), true) > 0)) AND isnotnull(split(_c12#28,  , -1)))
                     +- FileScan csv [_c11#27,_c12#28] Batched: false, DataFilters: [isnotnull(_c11#27), ((_c11#27 = -) = false), isnotnull(_c12#28), (size(split(_c12#28,  , -1), tr..., Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), IsNotNull(_c12)], ReadSchema: struct<_c11:string,_c12:string>

"
9,"['superfamily', 'protein', 'domain', 'subunit', 'family', 'Ribosomal', 'hydrolase', 'synthase', 'transporter', 'Protein']","== Physical Plan ==
*(4) Sort [count#534L DESC NULLS LAST], true, 0
+- Exchange rangepartitioning(count#534L DESC NULLS LAST, 200), ENSURE_REQUIREMENTS, [id=#723]
   +- *(3) HashAggregate(keys=[word#498], functions=[count(1)])
      +- Exchange hashpartitioning(word#498, 200), ENSURE_REQUIREMENTS, [id=#719]
         +- *(2) HashAggregate(keys=[word#498], functions=[partial_count(1)])
            +- Generate explode(split(INT_description#58,  , -1)), false, [word#498]
               +- *(1) Project [_c12#28 AS INT_description#58]
                  +- *(1) Filter ((((((((isnotnull(_c11#27) AND isnotnull(_c7#23)) AND isnotnull(_c6#22)) AND isnotnull(_c2#18)) AND Contains(_c11#27, IPR0)) AND (((cast(_c7#23 as double) - cast(_c6#22 as double)) / cast(_c2#18 as double)) > 0.9)) AND isnotnull(_c12#28)) AND (size(split(_c12#28,  , -1), true) > 0)) AND isnotnull(split(_c12#28,  , -1)))
                     +- FileScan csv [_c2#18,_c6#22,_c7#23,_c11#27,_c12#28] Batched: false, DataFilters: [isnotnull(_c11#27), isnotnull(_c7#23), isnotnull(_c6#22), isnotnull(_c2#18), Contains(_c11#27, I..., Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), IsNotNull(_c7), IsNotNull(_c6), IsNotNull(_c2), StringContains(_c11,IPR0), IsNo..., ReadSchema: struct<_c2:string,_c6:string,_c7:string,_c11:string,_c12:string>

"
10,0.014839916382092427,"== Physical Plan ==
*(5) Project [INT_accession#57, Protein_accession#46, Sequence_MD5_digest#47, Sequence_length#539, Analysis#49, Signature_accession#50, Signature_description#51, Start_location#52, Stop_location#53, Score#54, Status#55, Date#56, INT_description#58, GO_annotations#59, Pathways_annotations#60, lenght#221, count#572L]
+- *(5) SortMergeJoin [INT_accession#57], [INT_accession#586], Inner
   :- *(2) Sort [INT_accession#57 ASC NULLS FIRST], false, 0
   :  +- Exchange hashpartitioning(INT_accession#57, 200), ENSURE_REQUIREMENTS, [id=#791]
   :     +- *(1) Project [_c0#16 AS Protein_accession#46, _c1#17 AS Sequence_MD5_digest#47, cast(_c2#18 as int) AS Sequence_length#539, _c3#19 AS Analysis#49, _c4#20 AS Signature_accession#50, _c5#21 AS Signature_description#51, _c6#22 AS Start_location#52, _c7#23 AS Stop_location#53, _c8#24 AS Score#54, _c9#25 AS Status#55, _c10#26 AS Date#56, _c11#27 AS INT_accession#57, _c12#28 AS INT_description#58, _c13#29 AS GO_annotations#59, _c14#30 AS Pathways_annotations#60, ((cast(_c7#23 as double) - cast(_c6#22 as double)) / cast(_c2#18 as double)) AS lenght#221]
   :        +- *(1) Filter ((isnotnull(_c11#27) AND Contains(_c11#27, IPR0)) AND ((_c11#27 = -) = false))
   :           +- FileScan csv [_c0#16,_c1#17,_c2#18,_c3#19,_c4#20,_c5#21,_c6#22,_c7#23,_c8#24,_c9#25,_c10#26,_c11#27,_c12#28,_c13#29,_c14#30] Batched: false, DataFilters: [isnotnull(_c11#27), Contains(_c11#27, IPR0), ((_c11#27 = -) = false)], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), StringContains(_c11,IPR0)], ReadSchema: struct<_c0:string,_c1:string,_c2:string,_c3:string,_c4:string,_c5:string,_c6:string,_c7:string,_c...
   +- *(4) Sort [INT_accession#586 ASC NULLS FIRST], false, 0
      +- *(4) HashAggregate(keys=[INT_accession#586], functions=[count(1)])
         +- Exchange hashpartitioning(INT_accession#586, 200), ENSURE_REQUIREMENTS, [id=#801]
            +- *(3) HashAggregate(keys=[INT_accession#586], functions=[partial_count(1)])
               +- *(3) Project [_c11#27 AS INT_accession#586]
                  +- *(3) Filter ((isnotnull(_c11#27) AND ((_c11#27 = -) = false)) AND Contains(_c11#27, IPR0))
                     +- FileScan csv [_c11#27] Batched: false, DataFilters: [isnotnull(_c11#27), ((_c11#27 = -) = false), Contains(_c11#27, IPR0)], Format: CSV, Location: InMemoryFileIndex[file:/data/dataprocessing/interproscan/all_bacilli.tsv], PartitionFilters: [], PushedFilters: [IsNotNull(_c11), StringContains(_c11,IPR0)], ReadSchema: struct<_c11:string>

"
